model,split,RMSE,MAE,R2
SOM_scratch_plus_Ridge,val,10430.591355453389,7020.406862006964,0.7009423896179896
SOM_scratch_plus_Ridge,test,9747.022952884201,6565.33074686208,0.7189941991864859
