model,rmse_train,mae_train,r2_train,rmse_val,mae_val,r2_val,rmse_test,mae_test,r2_test,runtime_sec,source_file
MLPRegressor,,,,12338.20040249213,8490.587550722335,0.5815528287026304,11823.744442662515,8269.142063618816,0.5864944182315303,1.579,metrics_mlp.csv
RBF_scratch,,,,17066.432637855032,8804.596152693524,0.1993872571179196,17483.646184845773,11188.636668172308,0.0958607440522926,,metrics_rbf_scratch.csv
BayesianRidge_prob,,,,3317.5564664003514,2401.743212121212,0.9697466380399103,3508.4638859623024,2562.895636363636,0.9635912869004448,0.059,metrics_bayesian_ridge.csv
FuzzySugeno_concept,,,,2392.405359703577,1735.7843038628966,0.9842671815970562,2938.790201622742,2278.047655070455,0.9744548490133528,0.036,metrics_fuzzy_sugeno.csv
RNN_Elman_scratch,,,,19108.666079335133,12685.29612009871,-0.0074324250491606,18417.73289162985,12277.94459512901,-0.0033296534312337,3.655,metrics_rnn_elman_scratch.csv
GA_opt_MLP,,,,1996.46729659867,,,2493.391255724303,1899.7247180709608,0.981611251554346,84.775,ga_best_mlp.csv
